eid	name	male	female	age_0_4	age_5_9	age_10_14	age_15_19	age_20_24	age_25_29	age_30_34	age_35_39	age_40_44	age_45_49	age_50_54	age_55_59	age_60_64	age_65_69	age_70_74	age_75_79	age_80_84	age_85+	lang_english	lang_other
3521005	Center A	327535	341020	39720	43835	49625	49090	46290	43260	44925	53085	61115	56815	47345	39790	27950	21120	16820	12540	8865	6350	436565	196765
3542059	Center B	10145	11605	1035	1105	1310	1570	1375	1160	1100	1185	1555	1740	1595	1400	1140	935	1010	1010	715	830	20540	275
